"","PHRASE_STUB","PHRASE","ORIGINALPHRASE","WORDS","ALPHA","BETA","DEM_COUNT","REP_COUNT","slant","Rshare"
"269","drillingarcticnation","drilling arctic national","drilling in the arctic national",3,0.0019513,-0.0030565,61,7,-54,0.102941176470588
"270","drinkingwater","drinking water","drinking water",2,0.0066253,-0.0094161,177,60,-117,0.253164556962025
"271","drivereducation","driver education","driver education",2,0.000112,-7.8e-06,0,24,24,1
"272","driverlicense","driver license","driver licenses",2,-0.0008864,0.0103218,185,283,98,0.604700854700855
"273","dropoutpreventionpro","dropout prevention program","dropout prevention program",3,3.53e-05,2.33e-05,16,0,-16,0
"274","drugbil","drug bil","drug bill",2,0.0010067,-0.0010094,112,21,-91,0.157894736842105
"275","drugcompani","drug compani","drug companies",2,0.0028383,-0.003769,177,32,-145,0.15311004784689
"276","dutyfre","duty fre","duty free",2,-0.0015104,0.0054126,47,96,49,0.671328671328671
"277","earthday","earth day","earth day",2,0.0010646,-0.0016389,62,1,-61,0.0158730158730159
"278","easttexa","east texa","east texas",2,-0.0010479,0.0026431,3,46,43,0.938775510204082
"279","economicgrowth","economic growth","economic growth",2,-0.000112,0.0081508,272,410,138,0.601173020527859
"280","economicgrowthjob","economic growth job","economic growth and job",3,0.0002641,-7.36e-05,2,24,22,0.923076923076923
"281","economycontinuegrow","economy continue grow","economy continues to grow",3,-0.0001787,0.0006769,3,21,18,0.875
"282","economygrowing","economy growing","economy is growing",2,-0.0007775,0.0027049,21,69,48,0.766666666666667
"283","educationcut","education cut","education cuts",2,0.0004175,-0.0005267,42,3,-39,0.0666666666666667
"284","educationhealth","education health","education health",2,0.0016952,-0.0014526,140,46,-94,0.247311827956989
"285","educationhealthcare","education health care","education health care",3,0.0013359,-0.0012524,110,31,-79,0.219858156028369
"286","educationprogram","education program","education programs",2,0.0042648,-0.0028502,324,141,-183,0.303225806451613
"287","elderlydisabled","elderly disabled","elderly and disabled",2,0.0013886,-0.001782,81,19,-62,0.19
"288","electionreform","election reform","election reform",2,0.0010902,-0.0015904,58,8,-50,0.121212121212121
"289","electronicvotingmach","electronic voting machine","electronic voting machines",3,0.0016775,-0.0027878,25,1,-24,0.0384615384615385
"290","embryostemcel","embryo stem cel","embryo stem cells",3,-8.22e-05,0.0003576,1,20,19,0.952380952380952
"291","embryonicstem","embryonic stem","embryonic stem",2,7.21e-05,0.0066103,137,446,309,0.765008576329331
"292","embryonicstemcel","embryonic stem cel","embryonic stem cell",3,7.15e-05,0.0066059,136,446,310,0.766323024054983
"293","endmeet","end meet","ends meet",2,0.0001695,0.0006534,119,25,-94,0.173611111111111
"294","endangeredspeciact","endangered speci act","endangered species act",3,-0.0007802,0.0099972,180,95,-85,0.345454545454545
"295","endingseptember","ending september","ending september",2,-0.0011176,0.0046752,8,57,49,0.876923076923077
"296","enemycombatant","enemy combatant","enemy combatant",2,-0.0009195,0.0035786,68,130,62,0.656565656565657
"297","energynaturalresourc","energy natural resource","energy and natural resources",3,-0.0008563,0.0035393,89,232,143,0.722741433021807
"298","enforceimmigrationla","enforce immigration law","enforce our immigration laws",3,-0.0002252,0.0009351,6,25,19,0.806451612903226
"299","environmentlaw","environment law","environmental laws",2,0.0013779,-0.0007486,120,26,-94,0.178082191780822
"300","equalpay","equal pay","equal pay",2,0.0003321,-0.0004592,55,1,-54,0.0178571428571429
"301","estatetax","estate tax","estate tax",2,0.001905,0.0013509,195,46,-149,0.190871369294606
"302","ethicrule","ethic rule","ethics rules",2,0.0005039,-0.0002229,70,10,-60,0.125
"303","europeanunion","european union","european union",2,-0.0015246,0.0064028,73,186,113,0.718146718146718
"304","explosivedevicedeton","explosive device detonated","explosive device detonated",3,9.01e-05,7.67e-05,57,7,-50,0.109375
"305","exportimport","export import","export import",2,-0.0002783,0.0008902,10,44,34,0.814814814814815
"306","exportimportbank","export import bank","export import bank",3,-0.0002196,0.0006865,5,40,35,0.888888888888889
"307","extendpatriotact","extend patriot act","extend the patriot act",3,0.0001935,-0.0001687,37,6,-31,0.13953488372093
"308","exxonmobil","exxon mobil","exxon mobil",2,0.000454,-0.0006391,40,3,-37,0.0697674418604651
"309","familybusiness","family business","family business",2,-0.0009087,0.0046087,35,84,49,0.705882352941177
"310","familymedicleave","family medic leave","family and medical leave",3,0.0001167,-0.0001087,39,5,-34,0.113636363636364
"311","familyvalue","family value","family values",2,0.0053286,-0.0085741,76,6,-70,0.0731707317073171
"312","farmbureau","farm bureau","farm bureau",2,0.0001769,0.0015559,30,90,60,0.75
"313","farmbureaufederation","farm bureau federation","farm bureau federation",3,-0.0002322,0.0006725,2,21,19,0.91304347826087
"314","fasttrack","fast track","fast track",2,-0.0001125,0.0013678,106,18,-88,0.145161290322581
"315","federairmarshal","feder air marshal","federal air marshals",3,-0.0001587,0.0004938,0,15,15,1
"316","federbudget","feder budget","federal budget",2,-0.0004128,0.0052895,156,242,86,0.608040201005025
"317","federelection","feder election","federal elections",2,0.0023,-0.0031886,118,18,-100,0.132352941176471
"318","federemergencymanage","feder emergency management","federal emergency management",3,0.0014187,-0.0017069,64,23,-41,0.264367816091954
"319","federincometax","feder income tax","federal income tax",3,-0.0003517,0.0012155,7,33,26,0.825
"320","federspending","feder spending","federal spending",2,-0.0009067,0.0040261,37,180,143,0.829493087557604
"321","federtrade","feder trade","federal trade",2,0.0005004,0.0011127,141,39,-102,0.216666666666667
"322","federtradecommission","feder trade commission","federal trade commission",3,0.0004994,0.0011097,140,38,-102,0.213483146067416
"323","fifthcircuitcourt","fifth circuit court","fifth circuit court",3,-0.0001833,0.0008609,14,54,40,0.794117647058823
"324","fifthcongressionaldi","fifth congressional district","fifth congressional district",3,-0.0001612,0.0006978,3,20,17,0.869565217391304
"325","fightingwarterror","fighting war terror","fighting the war on terror",3,0.0001749,0.0005439,11,34,23,0.755555555555556
"326","finalminute","final minute","final minutes",2,-0.0001467,0.0004261,3,35,32,0.921052631578947
"327","financecommitte","finance committe","finance committee",2,-7.77e-05,0.0031055,295,398,103,0.574314574314574
"328","financetaxcut","finance tax cut","finance tax cuts",3,0.0005583,-0.0008355,24,0,-24,0
"329","financialaccountings","financial accounting standard","financial accounting standards",3,0.0002329,-0.0002956,1,14,13,0.933333333333333
"330","financialmanagement","financial management","financial management",2,-0.0006273,0.0022929,18,58,40,0.763157894736842
"331","finishjob","finish job","finish the job",2,-0.0009207,0.0028197,19,58,39,0.753246753246753
"332","flagdrapedcoffin","flag draped coffin","flag draped coffins",3,0.0002209,-0.0003021,26,3,-23,0.103448275862069
"333","flagprotectionamendm","flag protection amendment","flag protection amendment",3,-0.0019703,0.0050299,0,12,12,1
"334","floodinsuranceprogra","flood insurance program","flood insurance program",3,-4.21e-05,0.0023074,38,67,29,0.638095238095238
"335","foodprogram","food program","food program",2,-0.0006073,0.0039997,40,123,83,0.754601226993865
"336","foodscandal","food scandal","food scandal",2,-0.0003524,0.0015733,4,45,41,0.918367346938776
"337","foodstamp","food stamp","food stamps",2,0.0052712,-0.004972,439,165,-274,0.27317880794702
"338","foodstampcut","food stamp cut","food stamp cuts",3,0.0005222,-0.0008134,30,0,-30,0
"339","foodstampprogram","food stamp program","food stamp program",3,0.0011016,-0.0009559,110,36,-74,0.246575342465753
"340","forceiraq","force iraq","forces in iraq",2,0.0013771,-0.0003807,129,46,-83,0.262857142857143
"341","foreignaffair","foreign affair","foreign affairs",2,0.0001135,0.0006147,18,58,40,0.763157894736842
"342","foreignoil","foreign oil","foreign oil",2,0.003039,0.000484,535,147,-388,0.215542521994135
"343","foreignrelation","foreign relation","foreign relations",2,0.0011752,0.0015068,206,271,65,0.568134171907757
"344","forestservice","forest service","forest service",2,-0.0016326,0.0079124,84,178,94,0.679389312977099
"345","franklindelanoroosev","franklin delano roosevelt","franklin delano roosevelt",3,0.0007274,-0.0009058,58,20,-38,0.256410256410256
"346","freelection","fre election","free elections",2,-0.0002366,0.0022502,20,60,40,0.75
"347","freenterprise","fre enterprise","free enterprise",2,-0.0002989,0.0014333,20,79,59,0.797979797979798
"348","freenterprisesystem","fre enterprise system","free enterprise system",3,-5.81e-05,0.0005244,5,29,24,0.852941176470588
"349","fretrade","fre trade","free trade",2,0.0075758,-0.0036829,850,423,-427,0.332285938727416
"350","fueleconomy","fuel economy","fuel economy",2,0.0009804,-0.0008324,116,25,-91,0.177304964539007
"351","fueleconomystandard","fuel economy standard","fuel economy standards",3,0.0005153,-0.0007079,42,2,-40,0.0454545454545455
"352","fuelefficiency","fuel efficiency","fuel efficiency",2,0.0023267,-0.0032396,133,8,-125,0.0567375886524823
"353","fuelefficiencystanda","fuel efficiency standard","fuel efficiency standards",3,0.0006508,-0.000942,28,2,-26,0.0666666666666667
"354","fundtaxcut","fund tax cut","fund tax cuts",3,0.0001232,-8.87e-05,16,0,-16,0
"355","fundingcut","funding cut","funding cuts",2,-0.0001124,0.0015016,88,10,-78,0.102040816326531
"356","fundingveteranhealth","funding veteran health","funding for veterans health",3,0.0004089,-0.0002397,57,5,-52,0.0806451612903226
"357","gacompani","ga compani","gas companies",2,0.0018211,-0.0025873,80,11,-69,0.120879120879121
"358","ganatural","ga natural","gas natural",2,-8.48e-05,0.0003668,4,31,27,0.885714285714286
"359","ganaturalga","ga natural ga","gas natural gas",3,-0.000116,0.000406,3,28,25,0.903225806451613
"360","gaoil","ga oil","gas and oil",2,0.0002718,0.0003597,25,66,41,0.725274725274725
"361","gapricereduction","ga price reduction","gas price reduction",3,-3.47e-05,0.0001018,0,15,15,1
"362","gapump","ga pump","gas pump",2,0.000603,-0.0003228,101,17,-84,0.144067796610169
"363","gagrule","gag rule","gag rule",2,0.0001725,2.35e-05,74,2,-72,0.0263157894736842
"364","gaintaxcut","gain tax cut","gains tax cuts",3,0.000355,-0.0005507,19,1,-18,0.05
"365","gasolineprice","gasoline price","gasoline prices",2,9.43e-05,0.0020571,214,67,-147,0.238434163701068
"366","giftedtalentedstuden","gifted talented student","gifted and talented students",3,1.38e-05,-3.7e-06,0,11,11,1
"367","globalgagrule","global gag rule","global gag rule",3,0.000246,-0.000329,45,0,-45,0
"368","globalwar","global war","global war",2,-0.0029118,0.0106732,67,258,191,0.793846153846154
"369","globalwarterror","global war terror","global war on terror",3,-0.0016572,0.0056207,25,125,100,0.833333333333333
"370","globalwarterrorism","global war terrorism","global war on terrorism",3,-0.0012746,0.0050546,40,128,88,0.761904761904762
"371","godbless","god bless","god bless",2,-0.0017198,0.0081961,131,217,86,0.623563218390805
"372","godblessamerica","god bless america","god bless america",3,-0.000412,0.0014702,11,34,23,0.755555555555556
"373","governmentresponse","government response","government response",2,0.0008436,-0.00077,57,8,-49,0.123076923076923
"374","governmentspending","government spending","government spending",2,-0.0006369,0.0030197,37,127,90,0.774390243902439
"375","grandoleopry","grand ole opry","grand ole opry",3,-1.64e-05,7.46e-05,0,22,22,1
"376","greencard","green card","green card",2,-0.0006343,0.0023003,21,59,38,0.7375
"377","grossnationalproduct","gross national product","gross national product",3,-0.0001657,0.0005883,3,36,33,0.923076923076923
"378","growingeconomy","growing economy","growing economy",2,-0.0008312,0.0033537,15,78,63,0.838709677419355
"379","growthjob","growth job","growth and job",2,0.0001907,0.0003558,5,45,40,0.9
"380","growthjobcreation","growth job creation","growth and job creation",3,-8.24e-05,0.0005319,2,27,25,0.931034482758621
"381","growthrate","growth rate","growth rate",2,-0.0011931,0.0038321,20,115,95,0.851851851851852
"382","guardreserve","guard reserve","guard and reserve",2,-0.0001729,0.0052954,418,197,-221,0.320325203252033
"383","guestworker","guest worker","guest worker",2,-0.0001894,0.0027427,35,80,45,0.695652173913043
"384","guestworkerprogram","guest worker program","guest worker program",3,-0.0004114,0.0019529,15,44,29,0.745762711864407
"385","gulfcoast","gulf coast","gulf coast",2,0.0051044,0.0039894,726,446,-280,0.380546075085324
"386","gundeal","gun deal","gun dealers",2,0.001744,-0.002155,233,70,-163,0.231023102310231
"387","gunindustry","gun industry","gun industry",2,0.0009733,-0.000357,186,63,-123,0.253012048192771
"388","gunlobby","gun lobby","gun lobby",2,0.0003364,-0.0004594,63,1,-62,0.015625
"389","gunsafety","gun safety","gun safety",2,0.0007024,-0.0010718,58,0,-58,0
"390","gunsafetylaw","gun safety law","gun safety laws",3,0.0004247,-0.0006983,20,0,-20,0
"391","gunviolence","gun violence","gun violence",2,0.0033361,-0.0049072,213,10,-203,0.0448430493273543
"392","hatecrime","hate crime","hate crimes",2,0.002515,-0.0032419,84,302,218,0.782383419689119
"393","hatecrimelaw","hate crime law","hate crimes law",3,0.0001687,-3.93e-05,3,71,68,0.959459459459459
"394","hatecrimelegislation","hate crime legislation","hate crimes legislation",3,0.0006135,-0.000644,7,143,136,0.953333333333333
"395","hazardoumaterial","hazardou material","hazardous materials",2,0.0025335,-0.0021952,131,26,-105,0.165605095541401
"396","headstart","head start","head start",2,0.0092059,-0.0023851,648,300,-348,0.316455696202532
"397","headstartteacher","head start teacher","head start teachers",3,0.000803,-0.0011515,37,8,-29,0.177777777777778
"398","healthcarebenefit","health care benefit","health care benefits",3,0.0007648,-0.0001731,88,34,-54,0.278688524590164
"399","healthcarebudget","health care budget","health care budget",3,0.0002039,2.88e-05,40,6,-34,0.130434782608696
"400","healthcarechildren","health care children","health care for children",3,0.0002977,-0.0003721,26,4,-22,0.133333333333333
"401","healthcarecoverage","health care coverage","health care coverage",3,0.0014475,-0.0012696,113,39,-74,0.256578947368421
"402","healthcarecrisi","health care crisi","health care crisis",3,0.001683,-0.0022564,56,11,-45,0.164179104477612
"403","healthcarecut","health care cut","health care cuts",3,0.0002678,-0.0004092,24,0,-24,0
"404","healthcareeducation","health care education","health care education",3,0.0005761,-2.9e-05,87,13,-74,0.13
"405","healthcarefunding","health care funding","health care funding",3,7.6e-06,0.0003121,44,5,-39,0.102040816326531
"406","healthcarehousing","health care housing","health care housing",3,0.0002196,-0.0002503,30,0,-30,0
"407","healthcarepoor","health care poor","health care for the poor",3,0.0001965,-0.0002843,22,1,-21,0.0434782608695652
"408","healthcareservice","health care service","health care services",3,0.0001603,0.0016189,126,49,-77,0.28
"409","healthcareveteran","health care veteran","health care for veterans",3,0.000555,0.0008227,88,18,-70,0.169811320754717
"410","healthsaving","health saving","health savings",2,-0.0004622,0.0018457,10,59,49,0.855072463768116
"411","healthsavingaccount","health saving account","health savings accounts",3,-0.0004654,0.0018487,9,59,50,0.867647058823529
"412","hearingscheduled","hearing scheduled","hearing has been scheduled",2,-0.0001739,0.0006906,10,60,50,0.857142857142857
"413","heartmind","heart mind","hearts and minds",2,0.001242,-0.0012589,48,98,50,0.671232876712329
"414","heatingcost","heating cost","heating costs",2,0.0005667,-0.0007598,48,6,-42,0.111111111111111
"415","heatingoil","heating oil","heating oil",2,0.0014763,-0.0019324,140,47,-93,0.251336898395722
"416","helpveteran","help veteran","help veterans",2,0.0003491,-0.0001381,46,4,-42,0.08
"417","heritagemonth","heritage month","heritage month",2,0.001705,-0.0021403,61,9,-52,0.128571428571429
"418","highwaybil","highway bil","highway bill",2,-0.0015655,0.0069852,131,347,216,0.725941422594142
"419","highwaytrustfund","highway trust fund","highway trust fund",3,-0.0010074,0.0046806,41,119,78,0.74375
"420","holdhearing","hold hearing","hold a hearing",2,-0.0003078,0.0025079,75,162,87,0.683544303797468
"421","homeheatingfuel","home heating fuel","home heating fuel",3,4.35e-05,-4.35e-05,17,0,-17,0
"422","houserepublican","house republican","house republicans",2,0.0032717,-0.0028699,255,62,-193,0.195583596214511
"423","housingmarket","housing market","housing market",2,-0.0005748,0.0020756,8,39,31,0.829787234042553
"424","housingurbanaffair","housing urban affair","housing and urban affairs",3,-0.0002036,0.0009442,15,68,53,0.819277108433735
"425","hugochavez","hugo chavez","hugo chavez",2,-0.0022581,0.0067043,2,42,40,0.954545454545455
"426","humancloning","human cloning","human cloning",2,2.5e-05,0.0004322,11,45,34,0.803571428571429
"427","humanembryo","human embryo","human embryos",2,-0.001286,0.0040259,11,99,88,0.9
"428","humanlife","human life","human life",2,-0.0019698,0.0094952,59,197,138,0.76953125
"429","humanrightbody","human right body","human rights body",3,-0.0002659,0.0008802,0,13,13,1
"430","hundredbilliondollar","hundred billion dollar","hundreds of billions of dollars",3,0.0009657,-0.0011635,65,24,-41,0.269662921348315
"431","hurricanekatrina","hurricane katrina","hurricane katrina",2,0.0160563,-0.0069348,1295,717,-578,0.356361829025845
"432","illegalalien","illegal alien","illegal aliens",2,-0.0083343,0.0261399,38,367,329,0.906172839506173
"433","illegalimmigrant","illegal immigrant","illegal immigrants",2,-0.0016004,0.0084687,59,210,151,0.780669144981413
"434","illegalimmigration","illegal immigration","illegal immigration",2,-0.0045157,0.0187195,73,332,259,0.819753086419753
"435","immigrationlaw","immigration law","immigration laws",2,-0.0005735,0.004929,83,166,83,0.666666666666667
"436","immigrationreform","immigration reform","immigration reform",2,-0.0001867,0.0055785,100,198,98,0.664429530201342
"437","improvisedexplosived","improvised explosive device","improvised explosive device",3,-9.65e-05,0.001266,121,39,-82,0.24375
"438","incomefamili","income famili","income families",2,0.0027748,-0.0021662,250,89,-161,0.262536873156342
"439","incomepeople","income people","income people",2,0.0012453,-0.0011483,108,34,-74,0.23943661971831
"440","increaseminimumwage","increase minimum wage","increase in the minimum wage",3,0.0010447,-0.0013693,153,42,-111,0.215384615384615
"441","increasetaxe","increase taxe","increase taxes",2,-0.0002696,0.0018957,7,90,83,0.927835051546392
"442","indianaffair","indian affair","indian affairs",2,0.0002163,0.0005125,34,107,73,0.75886524822695
"443","indianartcraft","indian art craft","indian arts and crafts",3,-4e-06,6.04e-05,0,13,13,1
"444","indiantribe","indian tribe","indian tribes",2,1.39e-05,0.0011021,39,92,53,0.702290076335878
"445","insurancecompani","insurance compani","insurance companies",2,0.0060338,-0.0082118,201,61,-140,0.232824427480916
"446","insuranceindustry","insurance industry","insurance industry",2,0.0025916,-0.0029981,116,21,-95,0.153284671532847
"447","integratedoilcompani","integrated oil compani","integrated oil companies",3,1.11e-05,4.98e-05,39,2,-37,0.0487804878048781
"448","internationalatomice","international atomic energy","international atomic energy",3,0.0001218,0.000532,12,38,26,0.76
"449","internationallaboror","international labor organization","international labor organization",3,0.0008817,-0.0011924,57,8,-49,0.123076923076923
"450","internationallaborst","international labor standard","international labor standards",3,0.0005583,-0.000793,26,2,-24,0.0714285714285714
"451","internationalpeacese","international peace security","international peace and security",3,-0.0005269,0.0015195,2,17,15,0.894736842105263
"452","invasioniraq","invasion iraq","invasion of iraq",2,0.0005759,-0.0007485,77,6,-71,0.072289156626506
"453","iraqafghanistan","iraq afghanistan","iraq and afghanistan",2,0.0031391,0.0040797,684,354,-330,0.341040462427746
"454","iraqpolicy","iraq policy","iraq policy",2,0.0006258,-0.0008167,51,5,-46,0.0892857142857143
"455","iraqpresident","iraq president","iraq the president",2,0.0007312,-0.000944,68,14,-54,0.170731707317073
"456","iraqwar","iraq war","iraq war",2,0.0040046,-0.0053137,249,58,-191,0.188925081433225
"457","iraqweaponmass","iraq weapon mass","iraq weapons of mass",3,0.0004079,-0.0005256,32,3,-29,0.0857142857142857
"458","iraqipeople","iraqi people","iraqi people",2,0.0017848,0.0067564,322,454,132,0.585051546391753
"459","iraqiwomen","iraqi women","iraqi women",2,-0.0037875,0.0107935,22,85,63,0.794392523364486
"460","issuefacingamerican","issue facing american","issues that are facing americans",3,0.0035324,-0.0061843,24,0,-24,0
"461","iwojima","iwo jima","iwo jima",2,-0.0013241,0.006604,32,80,48,0.714285714285714
"462","japaneseamerican","japanese american","japanese americans",2,0.0006324,-0.0002569,65,9,-56,0.121621621621622
"463","jeffersoncounty","jefferson county","jefferson county",2,-0.0001417,0.0004877,5,32,27,0.864864864864865
"464","jobcreated","job created","jobs created",2,0.0010976,0.0007747,63,146,83,0.698564593301435
"465","jobcreation","job creation","job creation",2,0.0010556,0.0012854,86,151,65,0.637130801687764
"466","jobhealthcare","job health care","jobs and health care",3,0.0002036,-0.0002365,25,3,-22,0.107142857142857
"467","jobloss","job loss","job loss",2,0.0021239,-0.0023546,147,38,-109,0.205405405405405
"468","joblost","job lost","jobs lost",2,0.0017765,-0.001672,146,42,-104,0.223404255319149
"469","joboversea","job oversea","jobs overseas",2,0.0009866,-0.0009793,135,32,-103,0.191616766467066
"470","jobtrainingprogram","job training program","job training programs",3,0.0006806,-0.0004324,50,12,-38,0.193548387096774
"471","johnrobert","john robert","john roberts",2,-0.0004111,0.0020567,81,160,79,0.663900414937759
"472","jointcommitte","joint committe","joint committee",2,-0.0003874,0.0020464,36,80,44,0.689655172413793
"473","judgealbertogonzale","judge alberto gonzale","judge alberto gonzales",3,-4e-06,0.0002927,7,34,27,0.829268292682927
"474","judgejohnrobert","judge john robert","judge john roberts",3,-0.0002793,0.0010107,13,47,34,0.783333333333333
"475","judgerobert","judge robert","judge roberts",2,-0.0005869,0.004258,312,424,112,0.576086956521739
"476","judicialconfirmation","judicial confirmation process","judicial confirmation process",3,-9.85e-05,0.0003998,4,30,26,0.882352941176471
"477","judicialnomine","judicial nomine","judicial nominees",2,-0.0006518,0.0056139,381,478,97,0.556461001164144
"478","justicedepartment","justice department","justice department",2,0.0028669,-0.0007386,334,175,-159,0.343811394891945
"479","justicejaniceroger","justice janice roger","justice janice rogers",3,-0.0001813,0.0007516,14,50,36,0.78125
"480","justicepriscillaowen","justice priscilla owen","justice priscilla owen",3,-0.0001701,0.0006537,11,45,34,0.803571428571429
"481","justicesupremecourt","justice supreme court","justice of the supreme court",3,-0.0004449,0.0019697,53,113,60,0.680722891566265
"482","justicewilliamrehnqu","justice william rehnquist","justice william rehnquist",3,-9.36e-05,0.0007136,12,43,31,0.781818181818182
"483","kaiserfamilyfoundati","kaiser family foundation","kaiser family foundation",3,0.0005902,-0.0007871,20,1,-19,0.0476190476190476
"484","karlrove","karl rove","karl rove",2,0.0021419,-0.0030385,182,30,-152,0.141509433962264
"485","katrinasurvivor","katrina survivor","katrina survivors",2,0.0004876,-0.0007034,38,2,-36,0.05
"486","katrinavictim","katrina victim","katrina victims",2,0.0011664,-0.0014434,94,24,-70,0.203389830508475
"487","laborlaw","labor law","labor laws",2,0.0028817,-0.0039246,155,39,-116,0.201030927835052
"488","landwaterconservatio","land water conservation","land and water conservation",3,0.0005158,-0.0005343,44,9,-35,0.169811320754717
"489","largestexportmarket","largest export market","largest export market",3,-0.0005038,0.001873,2,19,17,0.904761904761905
"490","lawchange","law change","law we can change",2,0.0004413,-0.0001956,23,90,67,0.79646017699115
"491","lawenforcementagenci","law enforcement agenci","law enforcement agencies",3,0.0057648,-0.0062755,141,70,-71,0.33175355450237
"492","lawenforcementintell","law enforcement intelligence","law enforcement and intelligence",3,0.0002609,0.0005064,15,48,33,0.761904761904762
"493","lawreview","law review","law review",2,-0.0002761,0.000855,4,52,48,0.928571428571429
"494","leadershipconfercivi","leadership confer civil","leadership conference on civil",3,0.0001514,-0.0002356,23,2,-21,0.08
"495","legalsystem","legal system","legal system",2,-0.0009864,0.0043625,56,146,90,0.722772277227723
"496","legislativesession","legislative session","legislative session",2,-5.6e-05,0.0006425,14,66,52,0.825
"497","levelingplayingfield","leveling playing field","leveling the playing field",3,-0.0002232,0.0008335,5,26,21,0.838709677419355
"498","liabilityinsurance","liability insurance","liability insurance",2,0.0003217,0.0004545,19,60,41,0.759493670886076
"499","libertypursuithappin","liberty pursuit happiness","liberty and the pursuit of happiness",3,-0.0006839,0.0020396,5,24,19,0.827586206896552
"500","lifelibertypursuit","life liberty pursuit","life liberty and the pursuit",3,-0.0006839,0.0020396,5,24,19,0.827586206896552
"501","limitedtime","limited time","limited time",2,-0.0005531,0.0021647,21,67,46,0.761363636363636
"502","littlegirl","little girl","little girl",2,-0.0007024,0.0028012,20,57,37,0.74025974025974
"503","littlerock","little rock","little rock",2,0.0019724,-0.0007914,140,21,-119,0.130434782608696
"504","littlerocknine","little rock nine","little rock nine",3,0.0008225,-0.0007414,42,1,-41,0.0232558139534884
"505","livepoverty","live poverty","live in poverty",2,0.0015613,-0.0025003,105,4,-101,0.036697247706422
"506","livingpoverty","living poverty","living in poverty",2,0.0013561,-0.0019489,120,3,-117,0.024390243902439
"507","loanprogram","loan program","loan program",2,0.0036779,-0.0022178,191,76,-115,0.284644194756554
"508","lookforward","look forward","look forward",2,0.0019079,0.0235936,761,864,103,0.531692307692308
"509","losejob","lose job","lose their jobs",2,0.000748,-0.0002864,130,43,-87,0.248554913294798
"510","lostjob","lost job","lost their jobs",2,0.0018555,-0.0008453,244,45,-199,0.155709342560554
"511","louisianamississippi","louisiana mississippi alabama","louisiana mississippi and alabama",3,0.0001845,0.0022459,124,57,-67,0.314917127071823
"512","lowcostreliable","low cost reliable","low cost reliable",3,-6.4e-06,5.7e-05,0,12,12,1
"513","lowincome","low income","low income",2,0.0128872,-0.0129224,930,438,-492,0.320175438596491
"514","lowincomeamerican","low income american","low income americans",3,0.0004389,-0.0002311,59,20,-39,0.253164556962025
"515","lowincomechildren","low income children","low income children",3,0.0012263,-0.0014742,76,20,-56,0.208333333333333
"516","lowincomefamili","low income famili","low income families",3,0.0015319,-0.0007111,167,66,-101,0.283261802575107
"517","lowincomeindividual","low income individual","low income individuals",3,0.0001959,6.55e-05,15,37,22,0.711538461538462
"518","lowincomepeople","low income people","low income people",3,0.0006075,-0.0004322,58,15,-43,0.205479452054795
"519","lutherking","luther king","luther king",2,0.0052585,-0.0073698,153,52,-101,0.253658536585366
"520","madisoncounty","madison county","madison county",2,-0.0005254,0.0018397,15,59,44,0.797297297297297
"521","majoroilcompani","major oil compani","major oil companies",3,0.0001274,-9.62e-05,45,3,-42,0.0625
"522","majorityvote","majority vote","majority vote",2,-0.0007265,0.00321,83,168,85,0.669322709163347
"523","malpracticeinsuranc2","malpractice insurance","malpractice insurance",2,0.0040557,-0.0055435,116,30,-86,0.205479452054795
"524","malpracticeinsuranc3","malpractice insurance premium","malpractice insurance premiums",3,0.0010356,-0.0015379,34,6,-28,0.15
"525","malpracticeinsurance","malpractice insurance rate","malpractice insurance rates",3,0.0009869,-0.0014498,24,3,-21,0.111111111111111
"526","manufacturingjob","manufacturing job","manufacturing jobs",2,0.0029925,-0.002771,310,74,-236,0.192708333333333
"527","manufacturingjoblost","manufacturing job lost","manufacturing jobs lost",3,0.0004779,-0.000703,43,7,-36,0.14
"528","marketaccess","market access","market access",2,-0.0005184,0.0024548,22,65,43,0.747126436781609
"529","marriageprotectionam","marriage protection amendment","marriage protection amendment",3,2.01e-05,4.99e-05,0,14,14,1
"530","martinluther","martin luther","martin luther",2,0.0052585,-0.0073698,153,52,-101,0.253658536585366
"531","massivetaxcut","massive tax cut","massive tax cuts",3,0.000321,-0.0004745,28,0,-28,0
"532","maternalchildhealth","maternal child health","maternal and child health",3,0.0002861,-0.0003867,24,1,-23,0.04
"533","medicbil","medic bil","medical bills",2,0.0008152,-0.0011577,99,13,-86,0.116071428571429
"534","medicleaveact","medic leave act","medical leave act",3,7.86e-05,-5.76e-05,29,4,-25,0.121212121212121
"535","medicliability","medic liability","medical liability",2,-0.0007965,0.0050621,21,171,150,0.890625
"536","medicliabilitycrisi","medic liability crisi","medical liability crisis",3,-0.0001568,0.0008493,1,22,21,0.956521739130435
"537","medicliabilityinsura","medic liability insurance","medical liability insurance",3,0.0003175,-8.75e-05,8,27,19,0.771428571428571
"538","medicliabilityreform","medic liability reform","medical liability reform",3,-0.0004279,0.0016799,0,40,40,1
"539","medicmalpractice","medic malpractice","medical malpractice",2,0.0095962,-0.0129879,239,66,-173,0.216393442622951
"540","medicmalpracticebil","medic malpractice bil","medical malpractice bill",3,0.0006535,-0.0010836,16,0,-16,0
"541","medicmalpracticeinsu","medic malpractice insurance","medical malpractice insurance",3,0.0024997,-0.0033908,70,17,-53,0.195402298850575
